"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Neuronal System R-HSA-112316",5.86988997796033e-35,6.85016160427971e-32,1.53645895003215,0.571566453471076,2.78108454764973,386,"NRGN;STXBP1;CAMK2A;SYT1;TSPAN7;SNAP25;PRKAR1B;RAB3A;GABBR2;NPTN;PRKCB;GRIA2;GNB1;SYN1;SYN2;CALM1;ADCY1;KCNAB2;GABRB2;AP2M1;CAMK2G;DLGAP1;SLC17A7;EPB41L1;NSF;NEFL;VAMP2;GLUL;PLCB1;MAPT;RTN3;SLC1A2;CPLX1;CAMKK2;AP2A1;GABRA1;GRIA1;STX1A;GABRA3;GIT1;NRXN2;GABRA2;NRXN1;HCN2;GABRA4;GNG2;HSPA8;DLGAP3;DLGAP4;SLC1A3;PRKCG;KCNC1;CACNA2D1;GABRB3;HCN1;MAPK3;CAMK2D;SHANK1;CACNA1B;CAMKK1;LRRC4B;AP2S1;SYT7;KCNQ2;PRKAR2B;PRKAR1A;CAMK2B;MAPK1;KCNC2;CACNA1E;CACNB3;ARHGEF9;GRIN2B;PTPRS;GRIA4;GLRB;CACNB4;GNG3;FLOT1;CACNB1;APBA1;TSPOAP1;PRKCA;ABAT;SHANK3;KCNN1;AP2B1;GNB2;GABRG2;ARL6IP5;HOMER1;SYN3;DNAJC5;KCNQ5;ARHGEF7;CACNG8;KCNA2;NLGN2;RASGRF2;GRM5;KCND3;PPFIBP1;PRKACB;GABRB1;PPFIA2;CACNG3;GRIK5;KCNB1;NRXN3;NLGN4X;ALDH2;GRIA3;ADCY2;SLITRK4;GABRA5;GPRIN1;CHRNA4;GNG7;SIPA1L1;CACNA1A;RASGRF1;CACNA2D3;PICK1;GNB5;KCNV1;GAD1;NTRK3;SLITRK5;SLC6A1;CHRNB2;APBA2;NBEA;KCNQ3;KCNK1;KCNS1;CACNB2;KCNMA1;PANX2;SLC6A11;SLITRK2;SHANK2;CAMK1;NLGN3;KCNH1;KCND2;SLITRK3;SLITRK1;KCNC4;LRRTM4;RIMS1;KCNA4"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",9.86394409434777e-33,5.75561137905192e-30,1.48853970961455,-0.54239330443297,-2.70390688496283,373,"OR2A14;OR4Q3;OR2B11;OR5V1;OR2M5;OR2A1;OR5D16;OR10T2;OR9Q1;OR9Q2;OR9G4;OR2A4;OR6C74;OR8G1;OR4C15;OR4F21;OR4X1;OR4N5;OR5L1;RTP2;OR10AD1;OR4D2;OR1K1;OR5H15;OR2F1;OR2Z1;OR2H2;OR7C1;OR2T34;OR2T27;OR4C46;OR4X2;OR2T11;OR2A2;OR10G4;OR14A2;OR2G6;OR4D11;OR10J5;OR7D4;OR5A1;OR51B2;OR10K1;OR8B2;OR6S1;OR1E1;OR6T1;OR4N2;OR2T8;OR6P1;OR2J2;OR13D1;OR51Q1;OR13C9;OR4L1;OR1D5;OR10D3;OR7C2;OR4F15;OR10A7;OR2S2;OR5B3;OR10K2;OR2C3;OR1I1;OR7D2;OR10H3;OR5B17;OR11H1;OR2G2;OR4F17;OR2AP1;OR10H2;OR1F1;OR7E24;OR2J3;OR4A47;OR10A4;OR4F6;OR1L3;OR1A2;OR5B21;RTP1;OR8K3;OR8H1;OR10AC1;OR56A1;OR52H1;OR5AU1;OR4K14;OR51I1;OR52M1;OR3A2;OR4S1;OR11H6;OR52E2;EBF1;OR9G9;OR4A5;OR1J1;OR1M1;OR8B4;OR2T5;OR14J1;OR10G9;OR1C1;OR4D9;OR4E1;OR2AJ1;OR10Z1;OR1N1;OR5AS1;OR11H4;OR2T35;OR8D4;OR5A2;OR2L5;OR52N2;OR4K15;OR5W2;OR51G2;OR5M10;OR4K5;OR14A16;OR5D18;OR4C16;OR6F1;OR1L8;OR13C2;OR5M8;OR6N2;OR51B6;OR13C8;OR4K2;OR2T1;OR6K2;OR5F1;OR10C1;OR52E4;OR5AP2;OR52J3;OR51S1;OR2L13;OR51E2;OR51L1;OR10X1;OR9A2;OR13C5;OR7G2;OR51F2;OR5T2;OR5H2;OR10A6;OR52K1;OR2AG2;OR1G1;OR10S1;OR11A1;OR56B1;OR5T1;OR5I1;OR4C5;OR6C3;OR10H5;OR4C11;OR5H14;OR6C65;OR14K1;OR56A5;OR5M11;OR51D1;OR11G2;OR1L1;OR6X1;OR5M1;OR6V1;OR7A17;OR7G1;OR4K3;OR10A3;OR10G7;OR6C76;OR2A5;OR52R1;OR4C13;OR8D2;OR8B12;OR11L1;OR8B8;OR13G1;OR4C3;OR52W1;OR5P2;OR12D2;OR8H2;OR1D2;OR1B1;OR8I2;OR56B4;OR2T10;OR1A1;OR5AN1;OR13F1;OR6N1;OR52N5;OR52B2;OR52D1;OR6Q1;OR13C4;OR2V1;OR2L8;OR51A7;OR5J2;OR4D1;OR2AE1;OR4P4;OR4N4;OR4D5;OR10G3;OR52A1;OR8D1;OR2J1;OR6B1;OR8A1;OR1S2;OR2T12;OR5AC2;OR6J1;OR1S1;OR6B3;OR5D14;OR6M1;OR52E6;OR10Q1"
"Olfactory Signaling Pathway R-HSA-381753",8.83652573705256e-32,3.43740851171345e-29,1.46752397671296,-0.532311840952932,-2.65762802369619,381,"OR2A14;OR4Q3;OR2B11;OR5V1;OR2M5;OR2A1;OR5D16;OR10T2;OR9Q1;OR9Q2;OR9G4;OR2A4;ANO2;OR6C74;OR8G1;OR4C15;OR4F21;OR4X1;OR4N5;OR5L1;RTP2;OR10AD1;OR4D2;OR1K1;OR5H15;OR2F1;OR2Z1;OR2H2;OR7C1;OR2T34;OR2T27;OR4C46;OR4X2;OR2T11;OR2A2;OR10G4;OR14A2;OR2G6;OR4D11;OR10J5;OR7D4;OR5A1;OR51B2;OR10K1;OR8B2;OR6S1;OR1E1;OR6T1;OR4N2;OR2T8;OR6P1;OR2J2;OR13D1;OR51Q1;OR13C9;OR4L1;OR1D5;OR10D3;OR7C2;OR4F15;OR10A7;OR2S2;OR5B3;OR10K2;OR2C3;OR1I1;OR7D2;OR10H3;OR5B17;OR11H1;OR2G2;OR4F17;OR2AP1;OR10H2;OR1F1;OR7E24;OR2J3;OR4A47;OR10A4;OR4F6;OR1L3;OR1A2;OR5B21;RTP1;OR8K3;OR8H1;OR10AC1;OR56A1;OR52H1;OR5AU1;OR4K14;OR51I1;OR52M1;OR3A2;OR4S1;OR11H6;OR52E2;EBF1;OR9G9;OR4A5;OR1J1;OR1M1;OR8B4;OR2T5;OR14J1;OR10G9;OR1C1;OR4D9;OR4E1;OR2AJ1;OR10Z1;OR1N1;OR5AS1;OR11H4;OR2T35;OR8D4;OR5A2;OR2L5;OR52N2;OR4K15;OR5W2;OR51G2;OR5M10;OR4K5;OR14A16;OR5D18;OR4C16;OR6F1;OR1L8;OR13C2;OR5M8;OR6N2;OR51B6;OR13C8;OR4K2;OR2T1;OR6K2;OR5F1;OR10C1;OR52E4;OR5AP2;OR52J3;OR51S1;OR2L13;CNGA4;OR51E2;OR51L1;OR10X1;OR9A2;OR13C5;OR7G2;OR51F2;OR5T2;OR5H2;OR10A6;OR52K1;OR2AG2;OR1G1;OR10S1;OR11A1;OR56B1;OR5T1;OR5I1;OR4C5;OR6C3;OR10H5;OR4C11;OR5H14;OR6C65;OR14K1;OR56A5;OR5M11;OR51D1;OR11G2;OR1L1;OR6X1;OR5M1;OR6V1;OR7A17;OR7G1;OR4K3;OR10A3;OR10G7;OR6C76;OR2A5;OR52R1;OR4C13;OR8D2;OR8B12;OR11L1;OR8B8;OR13G1;OR4C3;OR52W1;OR5P2;OR12D2;OR8H2;OR1D2;OR1B1;OR8I2;OR56B4;OR2T10;OR1A1;OR5AN1;OR13F1;OR6N1;OR52N5;OR52B2;OR52D1;OR6Q1;OR13C4;OR2V1;OR2L8;OR51A7;OR5J2;OR4D1;OR2AE1;ADCY8;OR4P4;OR4N4;OR4D5;CNGA2;OR10G3;OR52A1;OR8D1;OR2J1;OR6B1;OR8A1;OR1S2;OR2T12;OR5AC2;OR6J1;OR1S1;OR6B3;OR5D14;OR6M1;OR52E6;OR10Q1"
"Transmission Across Chemical Synapses R-HSA-112315",2.02705086157339e-31,5.91392088864036e-29,1.45334466856494,0.625123338127985,2.88167948366978,246,"NRGN;STXBP1;CAMK2A;SYT1;TSPAN7;SNAP25;PRKAR1B;RAB3A;GABBR2;NPTN;PRKCB;GRIA2;GNB1;SYN1;SYN2;CALM1;ADCY1;GABRB2;AP2M1;CAMK2G;SLC17A7;EPB41L1;NSF;NEFL;VAMP2;GLUL;PLCB1;MAPT;SLC1A2;CPLX1;CAMKK2;AP2A1;GABRA1;GRIA1;STX1A;GABRA3;GIT1;GABRA2;GABRA4;GNG2;HSPA8;SLC1A3;PRKCG;CACNA2D1;GABRB3;MAPK3;CAMK2D;CACNA1B;CAMKK1;AP2S1;PRKAR2B;PRKAR1A;CAMK2B;MAPK1;CACNA1E;CACNB3;ARHGEF9;GRIN2B;GRIA4;GLRB;CACNB4;GNG3;CACNB1;APBA1;TSPOAP1;PRKCA;ABAT;AP2B1;GNB2;GABRG2;ARL6IP5;SYN3;DNAJC5;ARHGEF7;CACNG8;RASGRF2;PRKACB;GABRB1;PPFIA2;CACNG3;GRIK5;ALDH2;GRIA3;ADCY2;GABRA5;GPRIN1;CHRNA4;GNG7;CACNA1A;RASGRF1;CACNA2D3;PICK1;GNB5;GAD1;SLC6A1;CHRNB2;NBEA"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",3.04603260391234e-21,7.10944009753141e-19,1.19534448258848,0.706293909496111,2.91277629227961,111,"ATP5F1B;COX6B1;NDUFS5;COX6C;COX6A1;NDUFB8;CYCS;ATP5MC3;ATP5F1D;NDUFB10;COX8A;ATP5PF;COX4I1;ATP5F1A;UQCRC2;COX5B;NDUFA1;ATP5MF;NDUFA13;ATP5PD;UQCR11;COX7B;NDUFAB1;NDUFS8;SDHB;COX7C;NDUFA5;COX5A;NDUFB2;COA1;COX7A2L;NDUFA8;UQCRQ;NDUFB4;CCNI;NDUFAF4;NDUFB9;ATP5ME;ATP5PB;TRAP1;ATP5PO;SDHA;NDUFB3;NDUFA11;NDUFA9;NDUFA2;NDUFV1;NDUFB6;SLC25A27;UQCRC1;NDUFC1;NDUFV2;ATP5MC2;NDUFS3;NDUFS4;UQCRB;UQCRFS1;NDUFS2;NDUFB5;UQCR10"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517",7.72108675236002e-21,1.50175137333402e-18,1.1778932614942,0.633130963550742,2.77164561421089,159,"ATP5F1B;BSG;LDHB;COX6B1;NDUFS5;COX6C;COX6A1;NDUFB8;CYCS;ATP5MC3;ATP5F1D;NDUFB10;COX8A;ATP5PF;COX4I1;ATP5F1A;MDH2;UQCRC2;COX5B;NDUFA1;ATP5MF;NDUFA13;ATP5PD;UQCR11;COX7B;NDUFAB1;NDUFS8;ACO2;SDHB;COX7C;NDUFA5;COX5A;NDUFB2;COA1;PDHB;COX7A2L;VDAC1;NDUFA8;UQCRQ;PDK2;NDUFB4;CCNI;NDUFAF4;NDUFB9;ATP5ME;ATP5PB;TRAP1;ATP5PO;SDHA;NDUFB3;NDUFA11;NDUFA9;IDH3G;NDUFA2;NDUFV1;PDK3;NDUFB6;SLC25A27;UQCRC1;NDUFC1;IDH3A;NDUFV2;ATP5MC2;IDH3B;CS;NDUFS3;NDUFS4;SUCLA2;UQCRB;NNT;LDHA;UQCRFS1;NDUFS2;NDUFB5;UQCR10"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314",1.34965610573089e-20,2.2500695362685e-18,1.1778932614942,0.601086280536929,2.6790104278769,182,"NRGN;CAMK2A;TSPAN7;PRKAR1B;GABBR2;NPTN;PRKCB;GRIA2;GNB1;CALM1;ADCY1;GABRB2;AP2M1;CAMK2G;EPB41L1;NSF;NEFL;PLCB1;MAPT;CAMKK2;AP2A1;GABRA1;GRIA1;GABRA3;GIT1;GABRA2;GABRA4;GNG2;PRKCG;GABRB3;MAPK3;CAMK2D;CAMKK1;AP2S1;PRKAR2B;PRKAR1A;CAMK2B;MAPK1;ARHGEF9;GRIN2B;GRIA4;GLRB;GNG3;APBA1;PRKCA;AP2B1;GNB2;GABRG2;ARHGEF7;CACNG8;RASGRF2;PRKACB;GABRB1;CACNG3;GRIK5;GRIA3;ADCY2;GABRA5;GPRIN1;CHRNA4;GNG7;RASGRF1;PICK1;GNB5;CHRNB2;NBEA"
"Respiratory Electron Transport R-HSA-611105",1.3738825352101e-17,2.00415114823774e-15,1.0864405425825,0.710094123284149,2.86147237770011,89,"COX6B1;NDUFS5;COX6C;COX6A1;NDUFB8;CYCS;NDUFB10;COX8A;COX4I1;UQCRC2;COX5B;NDUFA1;NDUFA13;UQCR11;COX7B;NDUFAB1;NDUFS8;SDHB;COX7C;NDUFA5;COX5A;NDUFB2;COA1;COX7A2L;NDUFA8;UQCRQ;NDUFB4;CCNI;NDUFAF4;NDUFB9;TRAP1;SDHA;NDUFB3;NDUFA11;NDUFA9;NDUFA2;NDUFV1;NDUFB6;UQCRC1;NDUFC1;NDUFV2;NDUFS3;NDUFS4;UQCRB;UQCRFS1;NDUFS2;NDUFB5;UQCR10"
"Opioid Signaling R-HSA-111885",2.22080012242812e-14,2.8796374920818e-12,0.97599468306432,0.665079656695873,2.67782011105511,88,"CAMK2A;PRKAR1B;PPP3R1;GNB1;CALM1;ADCY1;CAMK2G;PPP3CB;PLCB1;CAMKK2;GRK2;ITPR1;PDE1B;GNG2;PRKCG;CAMK2D;PPP3CA;CAMKK1;PPP2R1A;PRKAR2B;PRKAR1A;CAMK2B;MAPK1;GNG3;PPP2CA;AHCYL1;PRKCA;GNB2;PDE1A;PDE4A;PRKACB;GNAQ;ADCY2;GNG7;PPP1R1B;PPP2CB;GNB5;NBEA;PPP2R5D"
"Keratinization R-HSA-6805567",3.55729057819232e-14,4.15135810475043e-12,0.965327754226083,-0.510706728818992,-2.35727275646837,192,"KRTAP12-3;KRTAP10-3;KRTAP21-1;KRTAP9-2;KRTAP5-1;PKP4;KRTAP10-1;KRTAP12-2;KRT34;KRT12;KRT18;LCE1D;KRTAP10-2;KRTAP19-1;PI3;KRTAP10-6;KRT72;KRT28;PCSK6;KRTAP9-6;KRT8;KRTAP10-7;KRTAP12-4;LCE3D;KRT16;DSC3;LCE5A;LCE3E;KRTAP2-3;KRTAP1-4;KRTAP8-1;SPINK6;KRT76;LIPN;KRTAP20-1;KLK14;KRTAP22-1;KRTAP5-10;KRT80;KRTAP29-1;KRTAP9-4;KRT6A;KRTAP5-2;KRTAP5-7;KRT36;KRT10;LCE3A;LORICRIN;KRTAP9-1;KRT75;KRT38;LCE4A;SPRR2A;FLG;KRTAP23-1;KRT84;KRT31;KRT33B;SPINK5;LCE2A;KRTAP13-3;KRT77;KRT5;KRTAP4-4;KRTAP9-3;PERP;KRT23;LIPM;KRTAP10-12;KRTAP10-11;CELA2A;KRT24;KRTAP6-2;DSG1;KRTAP10-8;KRTAP13-1;LCE1A;KRT83;KRTAP5-11"
"Post NMDA Receptor Activation Events R-HSA-438064",4.6920710691536e-13,4.9778608524566e-11,0.921426003494898,0.708271935970629,2.67188776442281,61,"NRGN;CAMK2A;PRKAR1B;GRIA2;CALM1;ADCY1;CAMK2G;NEFL;MAPT;CAMKK2;GRIA1;GIT1;MAPK3;CAMK2D;CAMKK1;PRKAR2B;PRKAR1A;CAMK2B;MAPK1;GRIN2B;PRKCA;ARHGEF7;RASGRF2;PRKACB;GPRIN1;RASGRF1"
"Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755",1.05713531033919e-12,1.02806408930486e-10,0.910119734774459,0.676332571169064,2.62407741882271,74,"NRGN;CAMK2A;PRKAR1B;GRIA2;CALM1;ADCY1;CAMK2G;NEFL;MAPT;CAMKK2;GRIA1;GIT1;MAPK3;CAMK2D;CAMKK1;PRKAR2B;PRKAR1A;CAMK2B;MAPK1;GRIN2B;GRIA4;APBA1;PRKCA;ARHGEF7;RASGRF2;PRKACB;GRIA3;GPRIN1;RASGRF1"
"Protein-protein Interactions At Synapses R-HSA-6794362",1.76493772310935e-12,1.58437101759124e-10,0.910119734774459,0.637208294123003,2.56560122949898,88,"STXBP1;SYT1;DLGAP1;EPB41L1;RTN3;GRIA1;STX1A;NRXN2;NRXN1;DLGAP3;DLGAP4;SHANK1;LRRC4B;SYT7;GRIN2B;PTPRS;GRIA4;FLOT1;APBA1;SHANK3;HOMER1;NLGN2;GRM5;PPFIBP1;PPFIA2;NRXN3;NLGN4X;GRIA3;SLITRK4;GPRIN1;SIPA1L1;NTRK3;SLITRK5;APBA2;SLITRK2;SHANK2;NLGN3;SLITRK3;SLITRK1;LRRTM4;LRFN3"
"Ion Homeostasis R-HSA-5578775",2.75121678623025e-12,2.29333570680764e-10,0.898671232061694,0.746029693225217,2.67270091168999,49,"CAMK2A;ATP1A3;CALM1;SLC8A2;ATP2A2;ATP2B1;CAMK2G;FXYD7;SLC8A1;ATP1A2;ATP1B1;ITPR1;ATP1B2;SRI;CAMK2D;ASPH;RYR2;CAMK2B;AHCYL1;PRKCA;ATP1B3;FXYD1;ATP2B4"
"Integration Of Energy Metabolism R-HSA-163685",2.67122125855866e-11,2.07821013915864e-09,0.863415391606693,0.585105848168854,2.40575099162068,105,"STXBP1;SNAP25;PRKAR1B;GNB1;GNAS;ADCY1;VAMP2;PLCB1;ACACA;ACSL3;STX1A;ITPR1;GNG2;SYT5;PPP2R1A;PRKAR2B;PRKAR1A;KCNC2;CACNA1E;CACNB3;GNG3;PPP2CA;AHCYL1;PRKCA;GNB2;MLXIPL;PRKACB;GNAQ;KCNB1;ADCY2;FASN;GNG7;RAPGEF4;CACNA1A;ACSL4;PPP2CB;GNB5;MARCKS;CACNB2;PPP2R5D;CACNA1D;CHRM3;TKT;STK11;ACLY;AKAP5"
"Signaling By Receptor Tyrosine Kinases R-HSA-9006934",6.54404209622961e-11,4.77306070393747e-09,0.839088935621274,0.377852762257029,1.87170369455428,494,"DNM1;PRKCB;CALM1;ATP6V0C;GABRB2;ATP6V1B2;AP2M1;MEF2C;CYFIP2;SHC3;CDK5R1;ATP6V1A;CLTC;PIK3R1;ATP6V1H;ID2;ATP6V0A1;YWHAB;AP2A1;ATP6V1G2;PTK2B;MAP2K1;EPN1;PTPRU;GABRA1;ITPR1;ATP6V1D;EGR3;GRB2;ATP6AP1;FGF13;GABRB3;FLRT2;ATP6V1F;MAPK3;STMN1;PRKCZ;AP2S1;PPP2R1A;ATP6V0E2;PIK3R2;CLTA;MAPK1;CDC37;ATP6V1C1;AKT3;GRIN2B;MEF2D;ADAP1;PTPRS;RNMT;SH3GL2;PPP2CA;AHCYL1;FURIN;SPINT2;ABI2;NTRK2;PRKCA;DOCK3;AP2B1;GABRG2;NCKAP1;ROCK2;SYNGAP1;DUSP3;ATP6V0D1;ARHGEF7;STUB1;WASF1;POLR2E;BAIAP2;PRKACB;GABRB1;MATK;FGFR3;ATP6V1E1;ABI1;UBB;PTN;RANBP9;GGA3;MXD4;PTPRZ1;SPRED1;FLRT3;PRKCE;NCBP2;ATP6V1G1;PPP2CB;POLR2A;BRAF;RAPGEF1;DIAPH1;VAV2;NTRK3;MAP2K5;POLR2K;AAMP;KIDINS220;DNAL4;IRS2;VGF;CTNNB1;TNS3;MLST8;PPP2R5D;MAP2K2;F3;EPS15;EPS15L1;BRK1;HNRNPM;PLCG1;MEF2A;ID4;JUND;DNM3;RIT2;MAPK11;RPS6KA5;THBS4"
"G-protein Mediated Events R-HSA-112040",9.05760520024334e-11,6.2177795698141e-09,0.839088935621274,0.701336498791745,2.55254078350581,52,"CAMK2A;PRKAR1B;CALM1;ADCY1;CAMK2G;PLCB1;CAMKK2;GRK2;ITPR1;PDE1B;PRKCG;CAMK2D;CAMKK1;PRKAR2B;PRKAR1A;CAMK2B;MAPK1;AHCYL1;PRKCA;PDE1A;PRKACB;GNAQ;ADCY2"
"Class A/1 (Rhodopsin-like Receptors) R-HSA-373076",9.98953450268358e-11,6.47654820257319e-09,0.839088935621274,-0.399128632221544,-1.9493940792421,318,"LPAR1;CCL3;PRLH;DRD4;GALR3;GPR4;P2RY4;PF4;SSTR4;CCR1;CCL5;PTGER3;DRD5;TBXA2R;GPBAR1;RGR;APLN;OXER1;TACR2;SSTR5;RRH;CCR9;NMBR;GALR2;S1PR5;PTGFR;CXCR2;NPBWR2;INSL3;CXCL9;PRLHR;OPN1LW;MC3R;CMKLR1;UCMA;CCR2;PTGDR;S1PR3;CXCR1;S1PR2;CCR7;TAAR5;NPW;S1PR4;C3AR1;P2RY10;LTB4R2;HCAR2;GPR37;NPFFR1;FFAR1;AGTR1;NMUR1;HCRTR1;F2RL3;OPN1SW;HTR1D;PLPPR1;GHSR;XCR1;CXCR3;PPBP;ACKR2;F2RL2;FSHR;XCL1;TAC3;DHX34;APLNR;OPRL1;CXCR5;ADORA2A;ACKR4;PTAFR;CCL19;BRS3;C3;AVPR1B;NMS;GPR65;CCL25;CCL2;CXCL6;KISS1R;GAL;UTS2B;PMCH;PNOC;SSTR2;ANXA1;CCRL2;CCL16;GPHB5;DRD3;POMC;CXCL13;HRH4;MC2R;NPSR1;P2RY14;GNRH1;RHO;HCRT;LPAR6;P2RY1;NPY;LPAR2;PPY;GPR132;CCR8;PTGER1;LPAR5;CXCR4;LTB4R;ADRA1A;PROK1;FFAR2;C5;CCL1;KNG1;PTGER4;GHRL;MTNR1A;CHRM2;TRH;FPR1;PTGIR;EDN2;HCAR1;NMU;HTR1A;CYSLTR2;EDN1;CCKAR;ADRB3;CCL27;CXCL2;TACR1;CYSLTR1;OPN1MW3;TACR3;CCL13;PROKR2"
"Organelle Biogenesis And Maintenance R-HSA-1852241",1.12055098271971e-10,6.88254208859949e-09,0.839088935621274,0.442833286203177,2.08291416959986,274,"TUBA4A;YWHAG;CALM1;MEF2C;ATP5F1B;DYNLL1;DYNC1H1;CYCS;KIF3C;ATP5MC3;ATP5F1D;DCTN3;CRTC1;ATP5PF;ATP5F1A;TUBB4B;DCTN1;ATP5MF;PPP2R1A;ATP5PD;IFT57;PAFAH1B1;HSPA9;PRKAR2B;PKD1;MARK4;MEF2D;PRKCA;KIF3A;APOO;DYNLRB1;ATP5ME;CCT2;YWHAE;ATP5PB;RAB11A;IFT140;IFT22;ATP5PO;MICOS10;AHI1;PDE6D;KIFAP3;HAUS3;NR1D1;EXOC7;DCTN2;ATP5MC2;CSNK1E;TTBK2;CSNK1D;IMMT;TRIP11;DYNLL2;MTX2;IFT81;TMEM11;BBS7;ARL6;DYNC2LI1;TBL1XR1;KIF3B;UNC119B;NCOA1;HAUS8;MKKS;MAPK11;TTC8;BBS5;TCP1;GLUD1;APOOL;BBS2;TUBB4A;IFT122;RAB11FIP3;IDH2;CETN2;CREB1;BBS12;ASAP1;SSBP1;DYNLT2B;CEP70;BBS10;EXOC8;ATP5F1E;SSNA1;EXOC4;CARM1;CEP89;CREBBP;SMARCD3;TRAF3IP1"
"GPCR Ligand Binding R-HSA-500792",1.28222488073988e-10,7.33812549946760e-09,0.826657301178302,-0.366779061618243,-1.85365444854374,447,"LPAR1;CCL3;WNT8A;PRLH;DRD4;GALR3;GPR4;P2RY4;PF4;SSTR4;TAS1R3;CCR1;GRM4;CCL5;ADGRE1;UCN;FZD2;PTGER3;DRD5;TBXA2R;GPBAR1;RGR;APLN;GNG11;OXER1;TACR2;SSTR5;RRH;TAS2R5;CCR9;TAS2R60;TAS2R3;NMBR;GALR2;S1PR5;PTGFR;CXCR2;NPBWR2;INSL3;CXCL9;PRLHR;VIPR2;CPAMD8;OPN1LW;MC3R;CMKLR1;UCMA;CCR2;PTH1R;PTGDR;S1PR3;CXCR1;S1PR2;CCR7;TAAR5;NPW;S1PR4;C3AR1;P2RY10;LTB4R2;HCAR2;GPR37;PTH2;NPFFR1;FFAR1;AGTR1;NMUR1;HCRTR1;F2RL3;OPN1SW;HTR1D;RAMP3;GHRHR;PLPPR1;GHSR;XCR1;CXCR3;PPBP;ACKR2;F2RL2;UCN2;GNGT2;FSHR;XCL1;TAC3;DHX34;WNT9A;TAS2R39;CALCRL;IHH;GRM6;APLNR;OPRL1;CXCR5;GNG5;ADORA2A;ACKR4;PTAFR;ADGRE2;WNT6;CCL19;WNT9B;BRS3;C3;WNT2;AVPR1B;NMS;GPR65;CCL25;CCL2;WNT3A;ADGRE5;CXCL6;KISS1R;GHRH;GAL;PTCH1;UTS2B;TAS2R40;PMCH;PNOC;CASR;SSTR2;WNT4;ANXA1;CCRL2;CCL16;GPHB5;DRD3;POMC;CXCL13;CRH;HRH4;MC2R;NPSR1;DHH;P2RY14;GNRH1;GPRC6A;RHO;HCRT;GCG;LPAR6;P2RY1;TAS2R38;FZD10;NPY;LPAR2;PPY;GPR132;CCR8;ADM2;PTGER1;WNT7B;LPAR5;CXCR4;LTB4R;ADRA1A;PROK1;FFAR2;C5;CALCA;CCL1;KNG1;PTGER4;GHRL;TAS2R8;MTNR1A;GNB3;TAS1R2;ADCYAP1;CHRM2;GNG8;TAS2R9;TRH;FPR1;PTGIR;EDN2;HCAR1;NMU;HTR1A;CALCB;CYSLTR2;EDN1;CCKAR;ADRB3;CCL27;CXCL2;TACR1;CYSLTR1;SHH;OPN1MW3;WNT11;TACR3;CCL13;PROKR2"
"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721",1.32048530838749e-10,7.33812549946760e-09,0.826657301178302,0.800244483113821,2.61775810615306,31,"CAMK2A;TSPAN7;PRKCB;GRIA2;AP2M1;CAMK2G;EPB41L1;NSF;AP2A1;GRIA1;PRKCG;CAMK2D;AP2S1;CAMK2B;GRIA4;PRKCA;AP2B1;CACNG8;CACNG3;GRIA3;PICK1"
"TP53 Regulates Metabolic Genes R-HSA-5628897",1.83894832358376e-10,9.75478497101021e-09,0.826657301178302,0.61786753094,2.43624804901121,81,"YWHAG;YWHAH;PRDX2;COX6B1;COX6C;YWHAB;PRDX5;COX6A1;CYCS;COX8A;COX4I1;COX5B;COX7B;COX7C;COX5A;AKT3;COX7A2L;SESN3;YWHAE;PTEN;TNRC6A;RRAGA;LAMTOR3;LAMTOR5;MLST8;UBL4A;GSR;AKT1;YWHAZ;TSC2;PRDX1;COX20;LAMTOR2;RHEB;TXN2;RRAGD"
"RAF/MAP Kinase Cascade R-HSA-5673001",2.5336938649573e-10,1.28557423495877e-08,0.814035837847908,0.441577631319524,2.06423986521269,267,"CAMK2A;SPTBN2;CALM1;CAMK2G;NEFL;SHC3;SPTAN1;PEBP1;RAPGEF2;PIK3R1;YWHAB;CNKSR2;MAP2K1;GRB2;FGF13;MAPK3;SPTBN4;CAMK2D;PPP2R5B;PSMD2;PPP2R1A;PIK3R2;PEA15;CAMK2B;ARRB1;MAPK1;GRIN2B;RNMT;PSMC5;CUL3;PPP2CA;PTPRA;PSMD8;PSMD7;SYNGAP1;PSMA1;RASGRF2;PPP1CB;PDE6D;FGFR3;PAQR3;UBB;RANBP9;GPRIN1;PSMB5;RASGRF1;SPRED1;PSMF1;PPP2CB;LAMTOR3;BRAF;PSMC4;PSMB3;PSMC3;GFRA2;PPP1CC;IRS2;NF1;PSMC2;PPP2R5D;MRAS;PPP2R5C;MAP2K2;PSMB7;RASAL2;RASGEF1A;RBX1;SHOC2;ARL2;PSMA6"
